time_in_seconds,Stock
1.0,100
1.1,104.5
1.2,109.1789875
1.3,114.041934309
1.4,119.093752886
1.5,124.339274431
1.6,129.783225395
1.7,135.430202385
1.8,141.284645518
1.9,147.350810241
2.0,153.632737689
2.1,160.134223669
2.2,166.858786373
2.3,173.809632962
2.4,180.989625185
2.5,188.401244223
2.6,196.046554993
2.7,203.927170156
2.8,212.044214127
2.9,220.398287396
3.0,228.989431512
3.1,237.8170951
3.2,246.880101319
3.3,256.176617164
3.4,265.704125063
3.5,275.459397212
3.6,285.438473097
3.7,295.636640656
3.8,306.048421524
3.9,316.667560784
4.0,327.487021621
4.1,338.498985235
4.2,349.694856347
4.3,361.065274536
4.4,372.600131639
4.5,384.288595316
4.6,396.119138858
4.7,408.079577192
4.8,420.157108986
4.9,432.338364623
5.0,444.609459778
5.1,456.956054181
5.2,469.363415117
5.3,481.816485101
5.4,494.29995309
5.5,506.798328563
5.6,519.2960177
5.7,531.777400885
5.8,544.226910724
5.9,556.629109743
6.0,568.968766939
6.1,581.230932399
6.2,593.40100918
6.3,605.464821754
6.4,617.408680323
6.5,629.219440412
6.6,640.884557223
6.7,652.3921343
6.8,663.73096617
6.9,674.890574706
7.0,685.86123905
7.1,696.634019041
7.2,707.200772168
7.3,717.554164169
7.4,727.687673452
7.5,737.59558962
7.6,747.273006409
7.7,756.715809424
7.8,765.920659084
7.9,774.884969238
8.0,783.606881922
8.1,792.085238748
8.2,800.319549413
8.3,808.309957825
8.4,816.057206321
8.5,823.562598437
8.6,830.827960682
8.7,837.855603704
8.8,844.648283256
8.9,851.209161298
9.0,857.541767549
9.1,863.649961772
9.2,869.537897037
9.3,875.20998417
9.4,880.670857559
9.5,885.925342469
9.6,890.978423971
9.7,895.835217571
9.8,900.500941597
9.9,904.980891386
10.0,909.280415267
10.1,913.404892351
10.2,917.3597121
10.3,921.150255636
10.4,924.781878744
10.5,928.259896519
10.6,931.589569571
10.7,934.776091743
10.8,937.824579245
10.9,940.740061135
11.0,943.527471061
11.1,946.191640182
11.2,948.737291193
11.3,951.169033368
11.4,953.491358534
11.5,955.708637921
11.6,957.825119787
11.7,959.844927772
11.8,961.772059892
11.9,963.610388127
12.0,965.363658528
12.1,967.035491794
12.2,968.629384265
12.3,970.148709275
12.4,971.596718833
12.5,972.976545572
12.6,974.291204939
12.7,975.543597585
12.8,976.736511925
12.9,977.872626835
