time_in_seconds,value
0.0,180.0
0.30303030303,176.698346354
0.606060606061,173.496850194
0.909090909091,170.391040442
1.21212121212,167.379080203
1.51515151515,164.456788878
1.81818181818,161.622468226
2.12121212121,158.872650476
2.42424242424,156.205296577
2.72727272727,153.618794446
3.0303030303,151.109535139
3.33333333333,148.676041063
3.63636363636,146.314940347
3.93939393939,144.024863898
4.24242424242,141.803361759
4.54545454545,139.64842259
4.84848484848,137.558751811
5.15151515152,135.53143681
5.45454545455,133.565288497
5.75757575758,131.657587707
6.06060606061,129.807230194
6.36363636364,128.012520944
6.66666666667,126.271541062
6.9696969697,124.58325051
7.27272727273,122.945299015
7.57575757576,121.356729239
7.87878787879,119.815348722
8.18181818182,118.320266426
8.48484848485,116.870342808
8.78787878788,115.463790231
9.09090909091,114.099772806
9.39393939394,112.776394325
9.69696969697,111.492883691
10.0,110.247473411
10.303030303,109.039444163
10.6060606061,107.868061149
10.9090909091,106.731688463
11.2121212121,105.629654012
11.5151515152,104.560428172
11.8181818182,103.52338958
12.1212121212,102.517269427
12.4242424242,101.541321654
12.7272727273,100.59495642
13.0303030303,99.6768532631
13.3333333333,98.7864715527
13.6363636364,97.9225775683
13.9393939394,97.0846703776
14.2424242424,96.2718535749
14.5454545455,95.4833912393
14.8484848485,94.718809702
15.1515151515,93.9770432784
15.4545454545,93.257656897
15.7575757576,92.559655653
16.0606060606,91.8826355186
16.3636363636,91.2259763113
16.6666666667,90.5889759337
16.9696969697,89.971253851
17.2727272727,89.3719501307
17.5757575758,88.7907144959
17.8787878788,88.226744756
18.1818181818,87.6797148928
18.4848484848,87.1492079632
18.7878787879,86.6345698955
19.0909090909,86.1354948496
19.3939393939,85.6512890293
19.696969697,85.181670301
20.0,84.7259919637
20.303030303,84.2839908268
20.6060606061,83.8553980384
20.9090909091,83.4396150435
21.2121212121,83.0363959319
21.5151515152,82.6451810358
21.8181818182,82.2657430071
22.1212121212,81.8976176063
22.4242424242,81.5405318602
22.7272727273,81.1942699548
23.0303030303,80.8583487513
23.3333333333,80.5325704402
23.6363636364,80.2164836206
23.9393939394,79.909905008
24.2424242424,79.6125066202
24.5454545455,79.324019194
24.8484848485,79.0442694204
25.1515151515,78.7728673803
25.4545454545,78.509653887
25.7575757576,78.2542649188
26.0606060606,78.0065526474
26.3636363636,77.7662901566
26.6666666667,77.5332205587
26.9696969697,77.3072046215
27.2727272727,77.0879277074
27.5757575758,76.875261655
27.8787878788,76.668912954
28.1818181818,76.4687623188
28.4848484848,76.2746571957
28.7878787879,76.0863582689
29.0909090909,75.9037536358
29.3939393939,75.726589446
29.696969697,75.5547624707
30.0,75.3880360911
